variable,value,Matches
2012-13,3,1
2012-13,3,2
2012-13,3,3
2012-13,6,4
2012-13,6,5
2012-13,9,6
2012-13,12,7
2012-13,15,8
2012-13,18,9
2012-13,21,10
2012-13,22,11
2012-13,25,12
2012-13,25,13
2012-13,25,14
2012-13,26,15
2012-13,27,16
2012-13,30,17
2012-13,33,18
2012-13,33,19
2012-13,36,20
2012-13,37,21
2012-13,37,22
2012-13,37,23
2012-13,38,24
2012-13,41,25
2012-13,44,26
2012-13,47,27
2012-13,50,28
2012-13,53,29
2012-13,53,30
2012-13,53,31
2012-13,54,32
2012-13,57,33
2012-13,57,34
2012-13,58,35
2012-13,58,36
2012-13,59,37
2012-13,59,38
2012-13,59,39
2012-13,59,40
2012-13,60,41
2012-13,61,42
2012-13,64,43
2012-13,65,44
2012-13,65,45
2012-13,68,46
2013-14,3,1
2013-14,4,2
2013-14,7,3
2013-14,10,4
2013-14,10,5
2013-14,13,6
2013-14,16,7
2013-14,17,8
2013-14,20,9
2013-14,23,10
2013-14,23,11
2013-14,26,12
2013-14,29,13
2013-14,32,14
2013-14,32,15
2013-14,35,16
2013-14,38,17
2013-14,38,18
2013-14,38,19
2013-14,39,20
2013-14,42,21
2013-14,45,22
2013-14,48,23
2013-14,51,24
2013-14,54,25
2013-14,57,26
2013-14,60,27
2013-14,63,28
2013-14,66,29
2013-14,67,30
2013-14,68,31
2013-14,71,32
2013-14,74,33
2013-14,77,34
2013-14,80,35
2013-14,81,36
2013-14,82,37
2013-14,85,38
2013-14,86,39
2013-14,89,40
2013-14,89,41
2013-14,90,42
2013-14,93,43
2013-14,96,44
2013-14,99,45
2013-14,102,46
