league,team_flag,points
Bundesliga,Away Team,1.1556372549019607
Bundesliga,Home Team,1.6004901960784315
Ekstraklasa,Away Team,1.1026360067302299
Ekstraklasa,Home Team,1.6208637128435222
Eredivisie,Away Team,1.0971912617030763
Eredivisie,Home Team,1.6656263932233615
Jupiler League,Away Team,1.1013157894736842
Jupiler League,Home Team,1.6539473684210526
LIGA BBVA,Away Team,1.0713815789473684
LIGA BBVA,Home Team,1.6970394736842105
Liga ZON Sagres,Away Team,1.1570841889117043
Liga ZON Sagres,Home Team,1.5836755646817249
Ligue 1,Away Team,1.09375
Ligue 1,Home Team,1.6236842105263158
Premier League,Away Team,1.1131578947368421
Premier League,Home Team,1.6292763157894736
Scottish Premiership,Away Team,1.2598684210526316
Scottish Premiership,Home Team,1.4950657894736843
Serie A,Away Team,1.0732515744116673
Serie A,Home Team,1.6629101756711966
Super League,Away Team,1.152503793626707
Super League,Home Team,1.6077389984825494
